[Received] 6.20535135269165 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '6.160245418548584'}
[Received] 18.42958664894104 -> {'Location': 'entrance', 'Entity_Id': 92570, 'Timestamp': '18.384212493896484'}
[Received] 25.49975895881653 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '25.4570472240448'}
[Received] 26.608153343200684 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '26.507999897003174'}
[Received] 27.00608205795288 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '26.94700002670288'}
[Received] 27.574464082717896 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '27.527999877929688'}
[Received] 28.096735954284668 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '28.036999940872192'}
[Received] 28.753231525421143 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '28.69099998474121'}
[Received] 29.040353536605835 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '28.933507442474365'}
[Received] 29.33283758163452 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '29.27999997138977'}
[Received] 29.91594123840332 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '29.86899995803833'}
[Received] 30.5324444770813 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '30.465999841690063'}
[Received] 30.982954263687134 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '30.93499994277954'}
[Received] 31.521013975143433 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '31.47000002861023'}
[Received] 32.11251473426819 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '32.05799984931946'}
[Received] 34.41015362739563 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '34.36151576042175'}
[Received] 39.55959987640381 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '39.51903557777405'}
[Received] 44.727789640426636 -> {'Location': 'bedroom', 'Entity_Id': 92626, 'Timestamp': '44.68956136703491'}
[Received] 50.67307424545288 -> {'Location': 'room2', 'Entity_Id': 92721, 'Timestamp': '50.603344202041626'}
[Received] 51.737839460372925 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '51.68999981880188'}
[Received] 52.19566321372986 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '52.144999980926514'}
[Received] 52.637680768966675 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '52.58999991416931'}
[Received] 53.272387981414795 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '53.16199994087219'}
[Received] 53.54589009284973 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '53.496999979019165'}
[Received] 53.868229150772095 -> {'Location': 'room1', 'Entity_Id': 92630, 'Timestamp': '53.72632646560669'}
[Received] 54.039193868637085 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '53.99199986457825'}
[Received] 54.52890086174011 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '54.47099995613098'}
[Received] 54.95934247970581 -> {'Location': 'room_tp', 'Entity_Id': 123, 'Timestamp': '54.90499997138977'}
