[Received] 2.0132946968078613 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '2.009000062942505'}
[Received] 4.015836715698242 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '4.009000062942505'}
[Received] 6.016291618347168 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '6.009999990463257'}
[Received] 8.017097473144531 -> {'Location': 'kitchen', 'Entity_Id': '123', 'Timestamp': '8.009999990463257'}
[Received] 10.018866300582886 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '10.013000011444092'}
[Received] 12.03190565109253 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '12.025000095367432'}
[Received] 14.04624629020691 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '14.039999961853027'}
[Received] 16.048641443252563 -> {'Location': 'room', 'Entity_Id': '123', 'Timestamp': '16.042999982833862'}
[Received] 18.055232286453247 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '18.04800009727478'}
[Received] 20.060929536819458 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '20.055000066757202'}
[Received] 22.072247982025146 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '22.06599998474121'}
[Received] 24.08579969406128 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '24.079999923706055'}
[Received] 26.096993923187256 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '26.091000080108643'}
[Received] 28.10746955871582 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '28.1010000705719'}
[Received] 30.113238096237183 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '30.10700011253357'}
[Received] 32.1280312538147 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '32.121999979019165'}
[Received] 34.128966331481934 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '34.123000144958496'}
[Received] 36.12549042701721 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '36.123000144958496'}
[Received] 38.14043736457825 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '38.134000062942505'}
[Received] 40.1422598361969 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '40.13599991798401'}
[Received] 42.14191770553589 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '42.13599991798401'}
[Received] 44.145158767700195 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '44.13700008392334'}
[Received] 46.145774602890015 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '46.13800001144409'}
[Received] 48.14985227584839 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '48.14300012588501'}
[Received] 50.15200161933899 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '50.14300012588501'}
[Received] 52.151174783706665 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '52.144999980926514'}
[Received] 54.162461042404175 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '54.1560001373291'}
[Received] 56.16372227668762 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '56.15700006484985'}
[Received] 58.16139483451843 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '58.157999992370605'}
[Received] 60.16517901420593 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '60.16000008583069'}
[Received] 62.16227102279663 -> {'Location': 'dinner', 'Entity_Id': '123', 'Timestamp': '62.16000008583069'}
